,university,relationships,break ups,divorce,wedding,death,family,friendship
Document 230,False,True,False,False,False,False,False,False
Document 231,False,False,False,False,False,True,False,True
Document 232,False,False,True,False,False,False,False,False
Document 233,False,False,True,False,False,False,False,True
Document 234,True,False,False,False,False,False,False,True
Document 235,False,False,False,False,False,True,False,False
Document 236,False,False,False,False,False,True,False,False
Document 237,True,False,False,False,False,False,False,False
Document 238,False,False,False,False,False,False,False,True
Document 239,False,False,True,False,False,False,False,True
Document 240,False,False,True,True,False,False,False,False
Document 241,False,True,False,False,False,False,False,False
Document 242,True,False,False,True,False,False,False,False
Document 243,False,True,False,False,False,True,False,True
Document 244,False,False,False,True,False,True,False,False
Document 245,False,True,False,False,False,False,False,False
Document 246,False,False,False,False,False,False,False,True
Document 247,False,True,False,False,False,False,False,True
Document 248,True,False,False,False,True,False,False,True
Document 249,False,False,False,False,False,False,False,True
Document 250,False,True,False,False,False,False,False,True
Document 251,False,True,False,False,False,False,False,True
Document 252,False,True,True,False,False,False,False,False
Document 253,False,False,False,False,False,True,False,True
Document 254,False,False,False,False,True,False,False,False
Document 255,True,False,False,False,False,True,False,False
Document 256,True,False,False,False,False,True,False,False
Document 257,True,False,False,False,False,False,False,True
Document 258,False,False,True,False,False,False,False,False
Document 259,False,False,False,False,False,False,False,True
Document 260,False,True,False,False,True,False,False,False
Document 261,False,False,False,False,True,False,True,False
Document 262,True,False,False,False,False,False,False,True
Document 263,False,False,True,True,False,False,False,False
Document 264,False,False,False,False,True,False,True,False
Document 265,False,False,False,False,False,False,False,True
Document 266,True,False,True,False,False,False,False,True
Document 267,True,False,False,False,False,False,False,False
Document 268,False,False,False,False,False,True,False,False
Document 269,False,True,False,False,False,False,False,False
Document 270,True,False,False,False,False,False,False,False
Document 271,False,False,False,False,True,False,False,True
Document 272,False,True,False,False,False,False,False,False
Document 273,False,False,True,False,False,False,True,False
Document 274,False,True,False,False,False,False,True,False
Document 275,False,False,False,False,False,False,True,True
Document 276,False,False,False,True,False,False,False,True
Document 277,False,False,False,False,True,False,False,True
Document 278,True,False,False,False,False,False,False,False
Document 279,False,True,False,False,False,False,True,False
Document 280,False,False,True,False,False,False,False,True
Document 281,False,False,False,True,False,False,False,True
Document 282,False,True,False,False,False,False,True,False
Document 283,True,False,False,False,False,False,False,False
Document 284,True,True,False,False,False,False,True,False
Document 285,False,False,False,False,False,False,False,True
Document 286,False,False,True,False,False,False,False,True
Document 287,False,False,False,False,True,False,False,True
Document 288,False,True,True,False,False,True,False,False
Document 289,False,False,False,False,False,False,True,False
Document 290,False,False,False,False,False,True,False,True
Document 291,False,False,False,False,False,False,True,False
Document 292,False,True,False,False,False,False,False,True
Document 293,False,False,False,False,False,False,False,True
Document 294,False,True,False,False,False,False,False,True
Document 295,False,True,False,False,False,False,False,False
Document 296,False,False,True,False,False,True,False,False
Document 297,False,True,False,False,True,False,False,False
Document 298,False,False,False,False,False,False,False,True
Document 299,False,False,False,False,False,False,False,True
Document 300,False,False,False,False,False,True,False,False
Document 301,False,False,False,False,False,False,False,True
Document 302,True,False,False,False,False,True,False,False
Document 303,False,True,False,False,False,True,False,False
Document 304,False,True,False,False,False,False,False,True
Document 305,False,False,True,True,False,False,False,False
Document 306,False,True,False,False,True,False,False,False
Document 307,False,False,True,False,False,True,False,True
Document 308,False,False,False,False,False,False,True,True
Document 309,False,False,True,False,False,True,False,False
Document 310,False,False,False,False,False,True,False,False
Document 311,False,False,False,False,False,False,True,False
Document 312,False,True,False,True,False,False,False,False
Document 313,False,True,False,False,False,False,False,True
Document 314,False,False,False,False,False,False,False,True
Document 315,False,True,False,False,False,False,False,True
Document 316,False,False,False,False,False,False,True,False
Document 317,False,False,False,False,True,False,False,True
Document 318,False,False,False,False,True,False,False,False
Document 319,False,False,True,False,False,False,False,True
Document 320,False,True,False,False,True,False,False,True
Document 321,True,False,False,False,True,False,True,False
Document 322,False,False,True,False,False,True,False,False
Document 323,False,False,False,False,False,True,False,False
Document 324,False,False,False,False,True,False,False,False
Document 325,True,False,False,False,False,False,False,False
Document 326,False,False,False,False,True,False,False,True
Document 327,False,True,False,False,True,False,True,False
Document 328,False,False,False,True,False,True,False,False
Document 329,False,False,False,False,False,False,False,True
Document 330,False,True,False,False,False,True,True,False
Document 331,False,False,False,True,True,False,False,False
Document 332,False,True,False,False,False,False,False,False
Document 333,True,False,False,False,True,False,False,False
Document 334,False,False,False,False,False,False,False,True
Document 335,False,True,False,False,False,True,False,False
