,university,relationships,break ups,divorce,wedding,death,family,friendship,Dominant_Topic,Topic_Probability
Document 359,4.8,44.8,7.3,8.6,8.5,0.6,5.7,19.7,Topic 1,44.8
Document 360,0.5,28.9,19.0,4.0,8.1,24.5,14.2,0.8,Topic 1,28.9
Document 361,15.8,38.7,2.5,1.0,7.8,0.3,0.2,33.7,Topic 1,38.7
Document 362,6.2,6.1,2.9,4.4,11.5,37.4,11.3,20.2,Topic 5,37.4
Document 363,3.6,10.4,12.0,5.6,0.6,5.9,30.2,31.7,Topic 7,31.7
Document 364,2.8,0.6,22.0,9.5,31.5,19.0,9.4,5.2,Topic 4,31.5
Document 365,4.0,1.1,38.3,27.7,1.7,8.5,6.9,11.9,Topic 2,38.3
Document 366,0.1,9.7,0.3,20.5,3.7,1.1,0.4,64.3,Topic 7,64.3
Document 367,35.8,17.7,5.4,2.7,0.0,2.7,0.2,35.4,Topic 0,35.8
Document 368,26.7,8.1,21.2,6.4,2.7,11.8,4.6,18.4,Topic 0,26.7
Document 369,12.0,7.3,13.3,0.2,1.7,10.5,2.8,52.2,Topic 7,52.2
Document 370,15.9,6.6,35.0,0.4,2.0,7.3,3.0,29.7,Topic 2,35.0
Document 371,0.1,0.1,25.9,19.2,20.4,11.9,3.7,18.6,Topic 2,25.9
Document 372,4.2,18.8,2.7,0.1,6.0,2.5,24.5,41.2,Topic 7,41.2
Document 373,7.6,17.2,1.3,6.0,6.7,4.0,2.6,54.7,Topic 7,54.7
Document 374,6.9,43.0,0.6,7.0,13.5,8.2,8.5,12.3,Topic 1,43.0
Document 375,4.8,5.3,9.1,37.5,10.8,0.6,2.9,29.1,Topic 3,37.5
Document 376,15.9,2.1,19.5,9.8,6.8,9.8,24.8,11.3,Topic 6,24.8
Document 377,6.7,7.6,4.8,15.2,6.6,3.6,35.6,19.9,Topic 6,35.6
Document 378,0.2,8.5,3.3,42.0,12.1,15.8,13.5,4.6,Topic 3,42.0
Document 379,22.2,26.5,0.6,32.0,2.6,3.6,2.1,10.5,Topic 3,32.0
Document 380,2.8,12.5,29.5,1.1,4.4,26.8,9.7,13.3,Topic 2,29.5
Document 381,6.4,12.9,1.2,36.9,10.2,1.2,12.3,18.9,Topic 3,36.9
Document 382,11.8,5.3,18.1,6.0,18.1,3.6,1.5,35.6,Topic 7,35.6
Document 383,4.0,23.0,9.5,4.0,27.7,9.8,3.0,18.9,Topic 4,27.7
Document 384,32.5,5.5,20.2,21.0,9.5,0.5,1.3,9.6,Topic 0,32.5
