,university,relationships,break ups,divorce,wedding,death,family,friendship,Dominant_Topic,Topic_Probability
Document 870,3.3,7.7,0.0,10.3,0.1,1.5,75.7,1.3,Topic 6,75.7
Document 871,0.1,0.1,22.8,0.1,0.1,9.9,24.5,42.5,Topic 7,42.5
Document 872,31.9,5.1,4.0,14.9,8.1,6.3,19.7,9.9,Topic 0,31.9
Document 873,8.3,13.9,4.7,36.1,0.1,4.8,13.7,18.5,Topic 3,36.1
Document 874,0.2,2.9,9.8,0.5,23.2,18.2,13.7,31.5,Topic 7,31.5
Document 875,0.0,0.3,3.2,0.0,0.2,0.0,89.4,6.9,Topic 6,89.4
Document 876,7.9,24.2,0.0,1.7,0.1,3.7,0.1,62.3,Topic 7,62.3
Document 877,0.5,1.0,10.8,4.4,0.1,23.3,1.4,58.6,Topic 7,58.6
Document 878,31.8,0.0,0.1,2.0,22.0,0.1,0.1,44.0,Topic 7,44.0
Document 879,23.8,0.0,21.2,19.5,0.0,0.0,23.1,12.3,Topic 0,23.8
Document 880,0.1,0.1,36.0,20.3,5.5,0.1,0.8,37.1,Topic 7,37.1
Document 881,0.0,7.9,0.1,53.8,5.8,1.5,4.3,26.6,Topic 3,53.8
Document 882,26.6,0.4,8.5,0.1,0.1,1.0,0.4,63.0,Topic 7,63.0
Document 883,56.4,0.2,0.1,0.1,3.7,0.2,36.9,2.4,Topic 0,56.4
Document 884,1.3,0.0,6.9,0.0,0.9,20.0,4.2,66.8,Topic 7,66.8
Document 885,0.1,0.0,0.1,0.0,0.0,6.3,11.3,82.1,Topic 7,82.1
Document 886,0.1,0.1,0.0,0.1,29.5,6.4,0.0,63.8,Topic 7,63.8
Document 887,21.7,0.1,0.6,14.8,12.2,0.3,30.4,20.0,Topic 6,30.4
Document 888,0.0,36.9,0.1,0.2,8.8,0.1,18.7,35.2,Topic 1,36.9
Document 889,0.7,0.0,0.1,14.6,0.0,0.0,67.1,17.3,Topic 6,67.1
Document 890,18.7,0.0,0.0,11.5,39.2,0.1,6.0,24.4,Topic 4,39.2
Document 891,0.1,0.0,26.7,6.7,0.1,3.4,10.0,53.0,Topic 7,53.0
Document 892,0.3,0.1,9.5,0.1,0.2,10.0,16.9,63.0,Topic 7,63.0
Document 893,24.1,0.0,0.0,4.0,5.1,0.1,32.8,33.8,Topic 7,33.8
